Համակարգչային եզրույթների բառարան (Microsoft)
==========

English|Հայերեն
degree symbol|աստիճանի նշան
delay|հետաձգում
delegate|պատվիրակ
delete|ջնջել
DELETE key|ՋՆՋԵԼ ստեղն
delete query|ջնջման հարցում
delimited text file|սահմանանշված գրվածքային նիշք
delimiter|սահմանանշիչ
delist|հանել ցուցակից
deliver|առաքել
deliverable|առաքելի
Delivery Optimization|Առաքման լավարկում
Dell NetReady|Dell NetReady
Delve Analytics Outlook add-in|Outlook-ի Delve վերլուծական հավելվածք
demo|ազդային
demo|ցուցադրական
demote|հետ տանել
demote|իջեցնել
DEP|DEP
dependent|կախյալ
deploy|գործադրել
Deployment Image Servicing and Management|Deployment Image Servicing and Management
deployment package|օգտագործման փաթեթ
depth axis|խորության առանցք
depth of field|հստակության խորություն
DES|DES
Design|Ձևավորում
design element|ձեւավորման տարր
Design Ideas|Ձևավորման գաղափարներ
design lever|ձևավորման ընտրություն
Design Manager|Ձևավորման կառավարիչ
Design Master|Ձեւավորման վարպետ
design mode|ձեւավորման կերպ
Design panel|Ձևավորման վահանակ
design template|ձեւավորման ձեւանմուշ
Design tools|Ձեւավորման գործիքներ
Design view|Ձեւավորման տեսք
designer|ձեւավորող
desktop|սեղան
desktop background|սեղանի հետնաշերտ
desktop device|սեղանի սարք
desktop gadget|սեղանի վրայի հարմարանք
Desktop Gadget Gallery|Սեղանի վրայի հարմարանքների հավաքածու
desktop pattern|սեղանի երեսի նախշ
desktop program|սեղանի ծրագիր
destination|նպատակակետ
destination area|նպատակակետի տարածք
destination document|նպատակակետի փաստաթուղթ
destination file|նշանակման նիշք
detach|հեռացնել
detail data|մանրամասն տվյալներ
detail field|մանրամասների դաշտ
Detail view|Մանրամասն տեսք
Detailed Process|Մանրամասն ընթացք
Detected Events|Հայտնաբերված իրադարձություններ
Developer Site|Մշակողի կայք
Developer tools|Մշակողի գործիքներ
Development kits|Մշակման լրակազմեր
device|սարք
device claim|սարքի պահանջ
device driver|սարքավար
Device Encryption|Սարքի գաղտնագրում
Device Guard signing|Device Guard ստորագրում
device metadata package|սարքերի մետատվյալների փաթեթ
Devices|Սարքեր
Devices charm|Սարքեր հրաշք կոճակ
diacritic|տարբերիչ
diacritical mark|տարբերիչ նշան
diagram effect option|գծապատկերի էֆեկտի ընտրանք
dial|սահանիվ
dial|հավաքել հեռախոսահամար
dial pad|թվակալ
dial tone|հեռախոսային ազդանիշ
dialable format|հավաքվող համարի ձևաչափ
dialer|համարհավաքիչ
dialog box|երկխոսության տուփ
Dialog Box Launcher|Երկխոսության տուփի թողարկիչ
dial-up|հեռախոսագծային կապակցում
Dial-Up Networking|հեռախոսագծային կապակցում
Dictate|Թելադրում
Dictation|Թելադրում
dictionary|բառացանկ
DIF|DIF
digital|թվային
digital certificate|թվային վկայագիր
digital download code|ներբեռնման թվանշային կոդ
digital handwriting|թվային ձեռագիր
Digital ID|Թվային ID
digital image|թվային պատկեր
digital ink|թվային թանաք
digital license|թվային լիցենզիա
Digital Locker|Թվային պահարան
digital photo|թվային լուսանկար
digital signature|թվային ստորագրություն
digital video|թվային տեսանյութ
digital video disk|թվային բազմապիտանի սկավառակ
digitally sign|թվանշորեն ստորագրել
digitally signed|թվանշորեն ստորագրված
DIGRAM FOR HEAVENLY EARTH|DIGRAM FOR HEAVENLY EARTH
dim|խամրել
dimension|չափում
dimension level|չափման մակարդակ
dimmed|խամրած
Direct Dial number|Ուղղակի հավաքման համար
direct memory access|հիշողության ուղղակի մատչում
DirectAccess|DirectAccess
directory|գրացուցակ
directory control block|գրացուցակների հսկիչ կապան
DirectX Graphics Infrastructure|DirectX Graphic Infrastructure
disable|անջատել
disabled|կասեցված
disabled control|կասեցված գործիք
disc|սկավառակ
disc burner|սկավառակի գրիչ
discard|հրաժարվել
discard changes|հրաժարվել փոփոխություններից
disclaimer|հրաժարում
disconnect|անջատել
discretionary hyphen|փափուկ տողադարձիչ
discussion comment|քննարկման մեկնաբանություն
discussion group|քննախումբ
disk|սկավառակ
disk drive|սկավառակային հիշասարք
disk partition|սկավառակի մասնաբաժին
disk space|սկավառակի տարածություն
display|ցուցադրել
display|ցուցադրիչ
display adapter|ցուցադրիչի հարմարիչ
display name|ցուցադրվող անուն
Display Properties|Ցուցադրիչի հատկությունները
disregarded entity|ոչ-իրավաբանական անձ
distribute|տարածել
distributed password authentication|գաղտնաբառերի բաշխված իսկորոշում
distribution group|բաշխման խումբ
distribution list|առաքման ցուցակ
distributor|արածող
Diverging Arrows|Հակադիր սլաքներ
Diverging Radial|Ցրված շառավիղ
divider|բաժանիչ
division sign|բաժանման նշան
DIY|DIY
DKK|DKK
DLC|DLC
DLL|DLL
DMA|DMA
DMRC|DMRC
DNS name|DNS անուն
Do more|Այլ ընտրանքներ
Do Not Disturb|Չանհանգստացնել
Do Not Track|Չհետագծել
doc|փասթ
dock|հարակցիչ
dock|հարակցել
docked toolbar|հարակցված գործիքագոտի
docking station|հարակցման կայան
document|փատաթուղթ
Document Deletion Policy|Փաստաթղթի ջնջման դրույթներ
document element|փաստաթղթի տարր
Document Fingerprinting|Փաստաթղթերի «մատնահետքեր»
Document Information Panel|Փաստաթղթի տեղեկատվական փեղկ
Document Inspector|Փաստաթղթի տեսուչ
Document Integrity|Փաստաթղթի ամբողջականություն
document library|փաստաթղթերի դարան
document management system|փաստաթղթերի կառավարման համակարգ
Document Map|Փաստաթղթի քարտեզ
Document Panel|Փաստաթղթերի վահանակ
document parsing|փաստաթղթի վերլուծում
document properties|փաստաթղթի հատկություններ
Document Review|Փաստաթղթի վերանայում
document type definition|փաստաթղթի տիպի սահմանում
document window|փաստաթղթի պատուհան
Document Workspace|Փաստաթղթի աշխատատարածք
Document Workspace site|Փաստաթղթի աշխատատարածք
documentation|նկարագրություն
Documents|Փաստաթղթեր
dollar sign|դոլարի նշան
DOM|DOM
domain|տիրույթ
doodle|խզբզոց
dots per inch|կետ դյույմի վրա
Double data type|Կրկնակի տվյալների տեսակ
double-click|երկկտտացնել
double-tap|երկտոփել
doughnut chart|օղաբլիթաձև գծապատկեր
downgrade|տարբերակի իջեցում
download|ներբեռնել
download|ներբեռնում
download|ներբեռնում
Download Manager|ներբեռնումների կառավարիչ / ներբեռնումների վերահսկիչ
Downloads|Ներբեռնումներ
DPA|DPA
DPI|dpi
DPI scaling|տարլուծման սանդղում
draft|սևագիր
draft quality|սևագիր որակ
draft view|սևագիր տեսք
drag|քաշել
Drag and drop|Քաշել և գցել
drag-and-drop|քաշել-գցել
Draw|Թանաքի ընտրություն
draw|նկարել
drawing|նկար
drawing canvas|կտավ
drawing guide|նկարելու ուղեցույց
drawing object|նկարչական առարկա
drive|հիշասարք
drive letter|հիշասարքի տառ
driver|սարքավար
drop area|գցելու տարածք
drop lines|իջնող գծեր
drop shadow|ընկնող ստվեր
drop-down arrow|իջնող սլաք
drop-down combo box|իջնող համակցված տուփ
drop-down list|իջնող ցուցակ
drop-down list box|իջնող ցուցակատուփ
drop-down menu|իջնող ցանկ
dry ink|չորացած թանաք
DTD|DTD
Dubai Font|Dubai Font
due date|վերջնաժամկետ
DUN|DUN
DV|DV
DVD|DVD
DVD Player|DVD Նվագարկիչ
DXGI|DXGI
dynamic access control|փոփոխական մատչման հսկում
dynamic canary|փոփոխական ապահովիչ
Dynamic Email Delivery|Էլ․ նամակի դինամիկ տեղ հասցնում
dynamic landing page|փոփոխական նպատակային էջ
dynamic-link library|շարժունակապ դարան
Dynamics CRM for Outlook|Dynamics CRM՝ Outlook-ի համար
EA Access|EA Access
EAC|ԱՆԳ
Early Launch Antimalware driver|վաղ թողարկված հակավնասարար սարքավար
Early learning|Վաղ ուսուցում
early-launch boot driver|վաղ թողարկված սկզբնաբեռնման սարքավար
Ease In|Դյուրին մուտք
Ease of Access|Դյուրին մատչում
Ease of Access Center|Դյուրին մատչման կենտրոն
Ease Out|Դյուրին ելք
easily|հեշտությամբ
edge|եզր
eDiscovery|էլ. տվյալների բացահայտում
edit|խմբագրել
edit|խմբագրում
Edit menu|«Խմբագրել» ցանկ
Edit mode|Խմբագրման կերպ
editable ink|փոփոխվող թանաք
editor|խմբագրիչ
Editor|Խմբագիր
Editors' picks|Խմբագրի ընտրանի
EDP|EDP
Education|Կրթություն
educational|կրթական
educator|կրթիչ
edutainment|ուսժամանց
effective|արդյունավետ
efficiency bonus|արդյունավետության պարգեւ
Efficient File Storage|Նիշքի արդյունավետ պահուստավորում
ELAM driver|ELAM սարքավար
Elapsed|Անցած
electrical sensor|էլեկտրական սենսոր
Electronic Business Card|Էլեկտրոնային այցեքարտ
electronic mail|էլեկտրոնային փոստ
element|տարր
elevated command prompt|բարձրացված հրամանատող
ellipsis|բազմակետ
em dash|M-աչափ գիծ
em space|em տարածություն
email|ուղարկել էլ. փոստով
email|էլ. փոստ
e-mail|ուղարկել էլ. փոստով
email account|էլ. փոստի հաշիվ
e-mail account|էլ. փոստի հաշիվ
email address|էլ. հասցե
e-mail address|էլ. հասցե
e-mail alias|էլ-փոստի այլանուն
e-mail flooder|էլ-փոստային լցոնիչ
Email Insights|Email Insights
E-mail Merge|Էլ. փոստի միավորում
email message|էլ. ուղերձ
e-mail message|էլ. ուղերձ
email reminder|էլ. փոստի հիշեցում
e-mail server|էլ․ փոստի սպասարկիչ
Email Settings page|էլ. փոստի կարգավորումների էջ
Email to OneNote|էլ. փոստ ուղարկել OneNote
embed|ներկառուցել
Embed|Ներկառուցում
embedded audio clip|ներկառուցված ձայնահոլովակներ
embedded chart|ներկառուցված գծապատկեր
embedded object|ներկառուցված առարկա
embedded picture|ներկառուցված նկար
Embedded Shell Launcher|Ներկառուցված խեցու թողարկիչ
embedded video clip|ներկառուցված տեսահոլովակներ
emoji|էմոձի
emoticon|զմայլիկ
Emphasize|Ընդգծում
empty|դատարկ
en dash|N-աչափ գիծ
en space|en տարածություն
enable|միացնել
encapsulated PostScript|ներպատված PostScript
encoding|կոդավորում
encrypt|գաղտնագրել
encryption|գաղտնագրում
encryption key|գաղտնագրման բանալի
encryption provider|գաղտնագրում տրամադրող
end|վերջացնել
end of support|աջակցման ավարտ
end tag|փակող պիտակ
end user|վերջնական օգտվող
English Assistance|Անգլերեն լեզվի օգնական
enhance|կատարելագործել
enhanced|կատարելագործված
enhanced audio CD|կատարելագործված ձայնային CD
Enhanced dictation|Կատարելագործված թելադրում
enhanced DVD movie|կատարելագործված DVD շարժանկար
Enhanced ScreenTip|կատարելագործված Վահանահուշ
enter|մուտքագրել
ENTER key|ՄՈՒՏՔ ստեղն
enterprise|ձեռնարկություն
enterprise control|ձեռնարկության հսկում
Enterprise data protection|Ձեռնարկության տվյալների պաշտպանություն
entertainment|ժամանց
entity|մարմին
entity extraction|միավորների արտահանում
entity extractor|միավորների արտահանիչ
entity node|օբյեկտների հանգույց
entry|մուտքագրում
enumerated data type|թվարկված տվյալների տեսակ
envelope|ծրար
environmental sensor|միջավայրային սենսոր
EPUB|EPUB
equal sign|հավասարության նշան
Equation|Հավասարում
Equation Builder|Հավասարման կառուցիչ
E-reader|Ընթերցիչներ
error|սխալ
error bar|սխալների գոտի
error code|սխալի կոդ
error log|սխալների մատյան
error value|սխալի արժեք
ESC key|ESC ստեղն
Ethernet|Ethernet
euro symbol|եվրոյի նշան
Evaluate Formula|Գնահատել բանաձևը
evaluation criteria|գնահատման չափանիշներ
event|իրադարձություն
event address|իրադարձության հասցե
event handler|իրադարձությունների մշակիչ
event listener|իրադարձության ունկնդիր
Events|Դեպքեր
Events from Email|Իրադարձություններ էլ. փոստից
exact word extraction dictionary|ճշգրիտ բառի արտահանման բառացանկ
exact word part extraction dictionary|ճշգրիտ բառի մասերի արտահանման բառացանկ
Excel add-in|Excel-ի հավելվածք
Excel Calculation Server|Excel հաշվարկման սպասարկիչ
Excel Calculation Services|Excel հաշվարկման ծառայություններ
Excel Cube Functions|Excel խորանարդի գործառույթներ
Excel Mobile Viewer|Excel Mobile Viewer
Excel Services|Excel Services
Excel table|Excel-ի աղյուսակ
Excel Web Services|Excel վեբ ծառայություններ
Excel XML Format|Excel XML ձևաչափ
Exchange ActiveSync|Exchange ActiveSync
Exchange Fast Access|Exchange-ի արագ մատչում
exclamation point|բացականչական նշան
exclude dictionary|բացառել բառացանկը
exclusive|բացառիկ
execute|կատարել
exempt ID|հարկերից ազատման համար
exempt payee|հարկից ազատված վճարառու
exit|ելնել
Exit HTML Source|Ելնել HTML աղբյուրից
expand|ընդարձակել
expand control|ընդարձակման կառավար
expand indicator|ընդարձակման ցուցիչ
expanded view|ընդարձակված տեսք
experience|փորձ
expiration date|սպառման ժամկետ
exploded doughnut chart|պայթած օղաբլիթի գծապատկեր
exploded pie chart|ընդարձակված բլիթային գծապատկեր
Exploding|Պայթող
Exploding Outline|Պայթող ուրվագիծ
explore|դիտել
exponential trendline|ցուցչային միտման գիծ
export|արտահանել
exposure bias compensation|լուսակայման շեղման հատուցում
exposure compensation|Լուսակայման հատուցում
expression|արտահայտություն
extended desktop|ընդարձակված սեղան
extensible rights markup language|ընդլայնելի իրավունքներով նշարկման լեզու
Extensible Stylesheet Language|Ոճաթերթերի ընդարձակելի լեզու
extension|ընդլայնում
extension|խմբավորում
extent|տարածում
external access|արտաքին մատչում
external content type|արտաքին բովանդակության տեսակ
external data|արտաքին տվյալ
external data range|արտաքին տվյալների շարան
external display|արտաքին ցուցադրիչ
external list|արտաքին ցանկ
External System|Արտաքին համակարգ
external table|արտաքին աղյուսակ
external task|արտաքին խնդիր
extra color|հավելյալ գույներ
extract|արտահանել
eyedropper|կաթոցիկ
face down|երեսնիվայր
face up|երեսնիվեր
faceted navigation|նիստավորված նավիգացիա
facility field|հնարների դաշտ
factorial|ֆակտորիալ
failure|ձախողում
Fair Usage Policy|Բարեխիղճ օգտագործման դրույթներ
family|ընտանիք
Family & kids|Ընտանիք և երեխաներ
Family options|Ընտանեկան ընտրանքներ
Family Safety|Ընտանեկան ապահովություն
FAQ|Հաճախ տրվող հարցեր
fast forward|արագ առաջանցում
fast shutdown|արագ անջատում
fast startup|արագ մեկնարկ
FAT|FAT
FAT32|FAT32
fault|սխալ
fault injection|սխալների ներարկում
favorite|ընտրյալ
Favorite Folders|Ընտրյալ պանակներ
Favorites|Ընտրյալներ
feature|յուրահատկություն
feature update|յուրահատկությունների արդիացում
Featured|Հատընտիր
Featured albums|Հատընտիր ալբոմներ
Featured apps|Հատընտիր գործադիրներ
Featured artists|Հատընտիր կատարողներ
Featured collections|Հատընտիր հավաքածուներ
Featured games|Հատընտիր խաղեր
Featured movies|Հատընտիր շարժանկարներ
Featured music|Հատընտիր երաժշտություն
Featured selection|Հատընտիր հավաքածու
Featured sets|Հատընտիր կազմեր
Featured TV|Հատընտիր ՀՏ
Featured TV shows|Առաջարկվող ՀՏ հաղորդումներ
feed|սնում
Feed Discovery|Սնման հայտնագործում
feedback|արձագանք
Feedback Hub|Արձագանքի կենտրոն
fetch|քաշել
Fiction|Fiction
fidelity|ճշգրտություն
field|դաշտ
field button|դաշտի կոճակ
field code|դաշտի կոդ
field name|դաշտի անուն
field results|դաշտի արդյունքներ
field type|դաշտի տեսակ
Fighting|Գեղարվեստական
file|նիշք
file allocation table|նիշքերի տեղաբաշխման աղյուսակ
File as Printout|Պահել որպես տպածո
File Block|Նիշքերի արգելափակում
File Explorer|Նիշքախույզ
file format|նիշքի ձևաչափ
File History|Նիշքի պատմություն
File management|Նիշքերի կառավարում
File managers|Նիշքերի կառավարիչներ
File menu|«Նիշք» հրամանացանկ
file name extension|նիշքի անվան ընդարձակում
file picker|նիշքի ընտրիչ
file property|նիշքի հատկություն
file sharing program|նիշքերի համօգտագործման ծրագիր
file system|նիշքային համակարգ
File tab|ներդիր «Նիշք»
File Transfer Protocol|Նիշքերի փոխանցման հաղորդակարգ
file type|նիշքի տեսակ
filer|նիշքավորող
filer user|նիշքավորողի օգտագործող
fill effect|լցում
fill handle|լցման նշիչ
fill series|շարքերի լցնում
Film Grain|Ժապավենի հատիկներ
filter|զտիչ
filter|զտել
filter area|զտման տարածք
Filter By Form|մաղում ըստ ձեւի
Filter By Selection|մաղում ըստ ընտրածի
Filter Excluding Selection|Զտում ընտրածի բացառմամբ
filter field|զտման դաշտ
filtered HTML|զտված HTML
Finance|Ֆինանսներ
find|գտնել
Find My Phone|Գտնել իմ հեռախոսը
fingerprint reader|մատնահետքերի ընթերցիչ
Finish|Ավարտ
finish date|ավարտի ամսաթիվ
firewall|հրապատ
Firewall & network protection|Հրապատ և ցանցի պաշտպանություն
first-stage Recycle Bin|առաջին փուլի Աղբաման
fixed positioning|սեւեռված դիրքավորում
flag|դրոշ
flagged|դրոշված
flash|բռնկել
Flash Fill|Ֆլեշ լցում
Flashing|Թարթում
flick|պլստացնել
flip ahead|զարկել առաջ
float|սահող կետով տվյալ
floating column chart|լողացող սյունակաձև գծապատկեր
floating object|լողացող առարկա
floating toolbar|լողացող գործիքագոտի
floppy disk|ճկուն սկավառակ
floppy disk drive|ճկուն սկավառակի հիշասարք
flow|հոսք
flowchart|գործընթացի քարտեզ
Fluency Score|Վարժ տիրապետման միավոր
Fluent|Fluent
Fly Out|Դուրս թռչող
flyer|թռուցիկ
flyout anchor|դուրս թռչող խարիսխ
focal length|կիզակետային տարածություն
focus|կիզակետ
Focus Mode|Կիզակետային կերպ
Focused|Կիզակետում գտնվող
Focused|Կարևոր գործարքներ
Focused Inbox|Նախապես տեսակավորված մուտքի արկղ
folder|պանակ
folder home page|պանակի կայքէջ
Folder List|պանակների ցուցակ
Folder Pane|Պանակի փեղկ
follow|հետևել
font|տառատեսակ
Font choices|Տառատեսակների ընտրություն
font previewer|տառատեսակների նախադիտակ
font size|տառաչափ
Font spacing|Տառատեսակների հեռավորություն
font style|տառատեսակի ոճ
font substitution|տառատեսակի փոխարինում
Food & Dining|Սնունդ և ուտեստներ
Food & Drink|Սնունդ և ըմպելիք
footer|էջատակ
foreground color|հետնագույն
foreign address|արտաքին հասցե
foreign key|արտաքին բանալի
form|ձև
g|ձևաթղթի լրացման պարագա
form definition file|ձևերի սահմանման նիշք
form field|ձևադաշա
form region|ձևերի տարածք
form template|ձեւի նմուշ
Form view|Ձևաթղթային տեսք
Formal Language|Գրական լեզու
format|ձևաչափ
format|ձևաչափել
format bar|ձևաչափման գոտի
Format Object task pane|Առարկայի ձևաչափման խնդրափեղկ
Format Painter|Ձևաչափման նկարիչ
format switch|ձևաչափի փոխանջատում
Formatting toolbar|Ձևաչափման գործիքագոտի
forms cache|ձևերի շտեմ
formula|բանաձեւ
formula bar|բանաձեւերի գոտի
Formula Builder|Բանաձևի կառուցիչ
Formula Palette|Բանաձևի պնակ
forward|փոխանցել
forward slash|շեղ գիծ
four-headed arrow|քառակողմ սլաք
FPS|FPS
fraction|մաս
fraction|կոտորակ
fraction bar|կոտորակի գիծ
frame|շրջանակ
frame|կադր
Frame Guide|Շրջանակի ուղեցույց
frame rate|կադրերի հաճախություն
frames per second|կադրեր վայրկյանում
framework|կառուցվածք
fraudulent|խարդախ
free|ազատ
free/busy time|ազատ/զբաղված ժամանակ
freeform|ազատ ձևի նկար
freelancer|արտահաստիքային աշխատող
freeze|սառեցնել
friend|ընկեր
friends|ընկերներ
From Time|Ժամանակից
FTE|ԼԴՀ
FTP|FTP
full screen|լիաէկրան
full version|լիակատար տարբերակ
full-screen mode|լիաէկրան կերպ
full-time equivalent|լրիվ դրույքին համարժեք
function|գործառույթ
Funnel|Ձագար
FUP|FUP
furigana|ֆուրիգանա
fuzzing|մոլորեցում
gadget|հարմարանք
gain adjustment|ուժգնացման կարգաբերում
GAL|GAL
gallery|սրահ
Gallery View|Սրահի տեսք
game|խաղ
Game bar|Խաղի գոտի
game hub|խաղերի կենտրոն
game provider|խաղ տրամադրող
Game trailers|Խաղերի ազդհոլովակներ
Games|Խաղեր
gapless|առանց դադարների
gapless burning|գրանցում առանց դադարների
gateway|անցուղի
GB|ԳԲ
GBP|GBP
Gear|Ատամնանիվ
general location|ընդհանուր տեղադրություն
genre|ոճ
genuine|իսկական
genuine validation|իսկականության վավերացում
gesture|հպում
Gesture Engine|Հպման շարժիչ
Get Genuine Windows|Get Genuine Windows
Get Windows 10|Ստանալ Windows 10
Getting Started|Ներածություն
gift card|նվեր քարտ
gigabyte|գիգաբայթ
glass|ապակի
glassiness|ապակեձեւություն
global|ընդհանրական
global address list|հասցեների ընդհանրական ցանկ
global catalog server|ընդհանրական ցուցակների սպասարկիչ
global template|ընդհանրական ձևանմուշ
Global Universal Identification|ընդհանրական նույնացում
globally unique identifier|եզակի ընդհանրական նույնարկիչ
globally-unique identifier|եզակի ընդհանրական նույնարկիչ
glomming|համատեղում
gloss optimizer|փայլի լավարկիչ
glow|փայլ
glyph|գլիֆ
glyph run|գլիֆաշար
GN|GN
Go|գնալ
go back|վերադառնալ
goal seek|հարաչափի հարմարեցում
Government|Կառավարություն
Government & politics|Կառավարություն և քաղաքականություն
GPS receiver|GPS ընդունիչ
grace period|տարկետման ժամկետ
grace time|տարկետման ժամանակ
grade|աստիճանակարգություն
grade|գնահատական
Grade Values|Գնահատականի արժեքները
Gradebook|Թվանշանների մատյան
gradient|սահանցում
Grammar|Քերականություն
Grammar Options|Քերականության ընտրանքներ
Grammar pane|Քերականության փեղկ
graph index|դասիչային գծապատկեր
graphic|գծապատկեր
graphic filter|պատկերային մաղ
graphical user interface|օգտվողի գրաֆիկական միջերես
Graphics Effects|Գծապատկերների էֆեկտներ
Graphics Fill|Գծապատկերներում լցնում
graphics filter|պատկերային մաղ
Graphics Outline|Գծապատկերների ուրվագիծ
Graphics Tools|Գծապատկերների գործիքներ
grave accent|բութ
grayscale|գորշասանդղակ
greater than or equal to sign|«մեծ կամ հավասար է» նշան
greater than sign|«մեծ քան» նշան
Gregorian calendar|Գրիգորյան օրացույց
grid|ցանց
grid lines|ցանցագծեր
Grid Matrix|Ցանցավոր մատրիցա
grid origin|ցանցի սկիզբ
gripper|բռնակ
Groove|Groove
Groove Music Pass|Groove Music Pass
group|խումբ
Group Ad-hoc Network|Խմբերի հատուկ ցանց
group call|խմբային կանչ
group card|խմբային քարտ
group chat|խմբային զրույց
group conversation|խմբային զրուցաշար
group filter control|խմբային զտիչի կառավար
group IM|խմբային IM
group instant messaging|խմբային ուղերձում
Group Policy|Խմբի կանոններ
group schedule|խմբի հերթացուցակ
group screen sharing|էկրանի խմբային համօգտագործում
group video|խմբային տեսանյութ
group video calling|խմբային տեսականչ
Grouped List|Խմբավորված ցուցակ
Groups|Խմբեր
guest link|հյուրի կապ
GUI|GUI
GUID|GUID
guide|ուղեցույցներ
guided navigation|ուղեցույցով նավարկում
gutter|միջնալուսանցք
gutter margin|եզրային լուսանցք
HAB|ՍՀԳ
handle|բռնակ
handout|նյութ
handwriting|ձեռագիր
handwriting panel|ձեռագրի հարթակ
hanging indent|կախյալ նահանջ
hard disk|կոշտ սկավառակ
hard disk drive|կոշտ սկավառակի հիշասարք
hard fail|լուրջ խափանում
hard fault|սկավառակային սխալ
hard page fault|սկավառակային էջի սխալ
hardware acceleration|սարքային արագացում
Hardware and Devices troubleshooter|սարքաշարի շտկիչ
hardware failure|սարքաշարի ձախողում
hardware interface|սարքաշարի միջերես
hardware overlay|սարքաշարային վերածածկ
hash|պատահական տվյալներ
Hashtags|հեշթեգեր
hatch|ստվերագծում
hate speech|վիրավորական խոսք
HCK|HCK
HD|HD
HD DVD|HD DVD
HD movie|ԲՀ շարժանկար
HDMI|HDMI
header|էջագլուխ
Header|Վերնագիր
header row|գլխատող
header source|էջագլխի աղբյուր
heading style|վերնագրի ոճ
Headphone Virtualization mode|Ականջակալների վիրտուալացման կերպ
headset|ականջակալ
health|աշխատունակություն
Health & Fitness|Առողջություն և ֆիթնես
health analyzer|աշխատունակության վերլուծիչ
heap corruption|զանգվածային վնասվածք
heat|ջերմություն
heat map|ջերմաքարտեզ
Hello|Hello
Hello World|Ողո՜ւյն աշխարհ
help|օգնություն
Help+Tips|Օգնություն+Հուշակներ
hibernate|նիրհել
Hibernation File Cleaner|Նիշքերի մաքրում նիրհից հետո
hidden|թաքնված
hidden network|թաքնված ցանց
hidden text|թաքնված գրվածք
hierarchical address book|ստորակարգ հասեագիրք
hierarchical menu|ստորակարգ ցանկ
hierarchy|աստիճանակարգություն
Hierarchy|Ստորակարգություն
Hierarchy List|Ստորակարգի ցուցակ
High Contrast|Բարձր ցայտունություն
High Quality Video|Բարձրորակ տեսանյութ
high-definition DVD|բարձր հստակությամբ ԹՏՍ
high-definition multimedia interface|բարձր հստակության մուլտիմեդիա միջերես
high-density multichip interconnect|բարձր խտությամբ բազմաչոփ միջկապակցում
highlight|գունանշել
highlighter|գունանշիչ
high-low lines|բարձր-ցածր գծեր
high-stakes testing|վճռորոշ փորձարկում
HIP challenge|HIP իսկորոշում
histogram|հիստագիր
history|պատմություն
History list|Պատմության ցուցակ
History worksheet|Պատմության աշխատաթերթ
hit|արդյունք
Hobbies & toys|Զբաղմունք և խաղալիքներ
Hold|Պահված
hold|պահում
Hold and eDiscovery|էլ․ տվյալների ինքնաշխատ հայտնաբերմանն աջակցող յուրահատկություն
hold down|սեղմապահել
hologram|լիապատկեր
Holograms|Լիապատկերներ
holographic label maker|լիապատկեր պիտակ կերտիչ
HoloLens|HoloLens
Home|սկիզբ
home|տուն
Home & garden|Home & garden
home address|տան հասցե
home automation controller|տնային ավտոմատացման հսկիչ
home cell|տան վանդակ
home page|գլխավոր էջ
home phone|տան հեռախոս
homegroup|տնախումբ
HomeGroup|Տնախումբ
homegroup computer|տնախումբի համակարգիչ
homegroup password|տնախմբի գաղտնաբառ
HomeGroup troubleshooter|Տնախմբի անսարքությունների շտկիչ
homepage|տնէջ
homework app|թույլատրված գործադիր
homework list|թույլատրված ցուցակ
homework website|թույլատրված կայք
horizontal axis|հորիզոնական առանցք
Horizontal Bullet List|Հորիզոնական պարբերակի ցուցակ
horizontal cone chart|հորիզոնական կոնաձև գծապատկեր
horizontal cylinder chart|հորիզոնական գլանաձև գծապատկեր
Horizontal Hierarchy|Հորիզոնական ստորակարգ
Horizontal Labeled Hierarchy|Հորիզոնական պիտակված ստորակարգ
Horizontal Line|Հորիզոնական գիծ
Horizontal Picture List|Հորիզոնական նկարների ցուցակ
horizontal pyramid chart|հորիզոնական բրգաձև գծապատկեր
horizontal ruler|հորիզոնական քանոն
host|խնամորդ
host|խնամորդել
Hotels|Հյուրանոցներ
Hotmail|Hotmail
Hotmail|Hotmail
hotspot|մատչելիության տարածք
hover|մակարկել
How do I|Ինչպես կարող եմ
HPFS|HPFS
HTML|HTML
http|http
HTTP|HTTP
Hub|Կենտրոն
hub category identifier|Հանգույցային անվանակարգի նույնացուցիչ
hybrid drive|խառնածին հիշասարք
hydrate|բեռնել
hyperlink base|գերկապի հիմք
hyperlink display text|գերկապի ցուցադրվող գրվածք
hyperlink field|գերկապի դաշտ
Hypertext Markup Language|Հիպերտեքստի նշարկման լեզու
Hypertext Transfer Protocol|Հիպերտեքստի փոխանցման հաղորդակարգ
hyphen|տողադարձիչ
hyphenation|վանկատում
I/O (input/output)|I/O
I/O request packet|I/O հարցման փաթեթ
IAS|IAS
IBAN|IBAN
icon|պատկերակ
ID|ID
identification|նույնականացում
identifier|նույնացուցիչ
identity|ինքնություն
IDL|IDL
IDR|IDR
IEEE 802.1X security standard|IEEE802.1x անվտանգության ստանդարտ
IFSC code|IFSC կոդ
IFSV2|IFSV2
ignore|անտեսել
IIS|IIS
IKE|IKE
Illustration & graphic design|Պատկերազարդում և պատկերային ձեւավորում
IM|IM
image|պատկեր
Image Annotator|Պատկերի ծանոթագրիչ
image stabilization|պատկերի կայունացում
imaging|պատկերում
imaging device|պատկերման սարք
IMAP|IMAP
IME|IME
immersive|սուզիչ
